#abgabe.csv
#Tobias
#Scharsching
#12123692
group,number,duration,size
Split,278,2300,8
Split,279,2700,8
Split,280,2700,8
Split,281,2800,8
Split,282,2800,8
Split,283,2400,8
Split,284,2700,8
Split,285,2800,8
Split,286,2500,8
Split,287,6200,8
Split,288,14400,8
Split,289,19200,8
Split,290,3900,8
Split,291,9400,8
Split,292,19400,8
Split,293,3500,8
Split,294,3800,8
Split,295,3300,8
Split,296,3400,8
Split,297,26000,8
Split,298,3800,8
Split,299,3400,8
Split,300,3900,8
Split,301,3200,8
Split,302,800,8
Split,303,3600,8
Split,304,3300,8
Split,305,3200,8
Split,306,3300,8
Combination,307,7400,8
Combination,308,4800,8
Combination,309,6500,8
Combination,310,35000,8
Combination,311,5200,8
Combination,312,5200,8
Combination,313,2000,8
Combination,314,5000,8
Combination,315,9700,8
Combination,316,5000,8
Combination,317,4600,8
Combination,318,4900,8
Combination,319,2100,8
Combination,320,3000,8
Combination,321,3800,8
Combination,322,4400,8
Combination,323,5000,8
Combination,324,5400,8
Combination,325,3200,8
Combination,326,3700,8
Combination,327,4100,8
Combination,328,5000,8
Combination,329,4600,8
Combination,330,4200,8
Combination,331,1700,8
Combination,332,3800,8
Combination,333,4200,8
Combination,334,4300,8
Combination,335,4100,8
Combination,336,5100,8
Combination,337,2000,8
Combination,338,3000,8
Combination,339,3700,8
Combination,340,4100,8
Combination,341,4400,8
Combination,342,4500,8
Combination,343,2800,8
Combination,344,2600,8
Combination,345,3500,8
Combination,346,4800,8
Combination,347,3700,8
Combination,348,3800,8
Combination,349,1600,8
Combination,350,4700,8
Combination,351,3300,8
Combination,352,3200,8
Combination,353,3000,8
Combination,354,3000,8
Combination,355,1500,8
Combination,356,2700,8
Combination,357,2900,8
Combination,358,4100,8
Combination,359,3300,8
Combination,360,3100,8
Combination,361,2700,8
Combination,362,3100,8
Combination,363,3700,8
Combination,364,3600,8
Combination,365,3700,8
Combination,366,3800,8
Combination,367,1200,8
Combination,368,4200,8
Combination,369,5600,8
Combination,370,4200,8
Combination,371,4300,8
Combination,372,3900,8
Combination,373,1300,8
Combination,374,2400,8
Combination,375,3100,8
Combination,376,3500,8
Combination,377,3700,8
Combination,378,3700,8
Combination,379,2300,8
Combination,380,2800,8
Combination,381,3000,8
Combination,382,2900,8
Combination,383,3300,8
Combination,384,5400,8
Combination,385,1200,8
Combination,386,2800,8
Combination,387,3100,8
Combination,388,3500,8
Combination,389,3400,8
Combination,390,3900,8
Combination,391,1300,8
Combination,392,2900,8
Combination,393,3200,8
Combination,394,3800,8
Combination,395,3800,8
Combination,396,3200,8
Combination,397,3500,8
Combination,398,4000,8
Combination,399,3600,8
Combination,400,5200,8
Combination,401,3500,8
Combination,402,3400,8
Combination,403,1200,8
Combination,404,3200,8
Combination,405,2800,8
Combination,406,3300,8
Combination,407,10600,8
Combination,408,3100,8
Combination,409,1300,8
Combination,410,2600,8
Combination,411,3400,8
Combination,412,2700,8
Combination,413,2400,8
Combination,414,2300,8
Combination,415,2100,8
Combination,416,2400,8
Combination,417,2700,8
Combination,418,2500,8
Combination,419,2900,8
Combination,420,2700,8
Combination,421,1500,8
Combination,422,2600,8
Combination,423,2400,8
Combination,424,2700,8
Combination,425,2600,8
Combination,426,2700,8
Combination,427,1300,8
Combination,428,2300,8
Combination,429,4700,8
Combination,430,2700,8
Combination,431,2700,8
Combination,432,2800,8
Combination,433,2000,8
Combination,434,2500,8
Combination,435,2500,8
Combination,436,2800,8
Combination,437,2500,8
Combination,438,2500,8
Combination,439,1300,8
Combination,440,2400,8
Combination,441,2500,8
Combination,442,2600,8
Combination,443,4200,8
Combination,444,2400,8
Combination,445,1200,8
Combination,446,2000,8
Combination,447,3300,8
Combination,448,3000,8
Combination,449,2700,8
Combination,450,2600,8
Combination,451,1900,8
Combination,452,2200,8
Combination,453,4200,8
Combination,454,2200,8
Combination,455,2700,8
Combination,456,2600,8
Combination,457,1300,8
Combination,458,2300,8
Combination,459,2300,8
Combination,460,2500,8
Combination,461,2500,8
Combination,462,2400,8
Combination,463,1300,8
Combination,464,2200,8
Combination,465,2600,8
Combination,466,2500,8
Combination,467,2600,8
Combination,468,2500,8
Closest Pair: set1 - Random,469,344900,100
Closest Pair: set1 - Random,470,692300,200
Closest Pair: set1 - Random,471,706600,300
Closest Pair: set1 - Random,472,1078000,400
Closest Pair: set1 - Random,473,1194200,500
Closest Pair: set1 - Random,474,2147000,600
Closest Pair: set1 - Random,475,2793500,700
Closest Pair: set1 - Random,476,3680100,800
Closest Pair: set1 - Random,477,4302900,900
Closest Pair: set1 - Random,478,9628800,1000
Closest Pair: set1 - Random,479,1389200,1100
Closest Pair: set1 - Random,480,1466100,1200
Closest Pair: set1 - Random,481,2577700,1300
Closest Pair: set1 - Random,482,2277300,1400
Closest Pair: set1 - Random,483,1763800,1500
Closest Pair: set1 - Random,484,2886100,1600
Closest Pair: set1 - Random,485,4933600,1700
Closest Pair: set1 - Random,486,7375600,1800
Closest Pair: set1 - Random,487,11364900,1900
Closest Pair: set1 - Random,488,10476400,2000
Closest Pair: set1 - Random,489,9679100,2100
Closest Pair: set1 - Random,490,8394100,2200
Closest Pair: set1 - Random,491,11998500,2300
Closest Pair: set1 - Random,492,11073300,2400
Closest Pair: set1 - Random,493,12876500,2500
Closest Pair: set1 - Random,494,12519700,2600
Closest Pair: set1 - Random,495,14788800,2700
Closest Pair: set1 - Random,496,15647100,2800
Closest Pair: set1 - Random,497,8679700,2900
Closest Pair: set1 - Random,498,5655000,3000
Closest Pair: set1 - Random,499,8621900,3100
Closest Pair: set1 - Random,500,8613600,3200
Closest Pair: set1 - Random,501,9519500,3300
Closest Pair: set1 - Random,502,7321500,3400
Closest Pair: set1 - Random,503,11577600,3500
Closest Pair: set1 - Random,504,8188100,3600
Closest Pair: set1 - Random,505,9739700,3700
Closest Pair: set1 - Random,506,8698800,3800
Closest Pair: set1 - Random,507,9947900,3900
Closest Pair: set1 - Random,508,12775500,4000
Closest Pair: set1 - Random,509,10481200,4100
Closest Pair: set1 - Random,510,9053900,4200
Closest Pair: set1 - Random,511,11754500,4300
Closest Pair: set1 - Random,512,16464000,4400
Closest Pair: set1 - Random,513,11709400,4500
Closest Pair: set1 - Random,514,12720100,4600
Closest Pair: set1 - Random,515,14836100,4700
Closest Pair: set1 - Random,516,11959400,4800
Closest Pair: set1 - Random,517,13190300,4900
Closest Pair: set1 - Random,518,17296800,5000
Closest Pair: set1 - Random,519,13938200,5100
Closest Pair: set1 - Random,520,14025400,5200
Closest Pair: set1 - Random,521,15726700,5300
Closest Pair: set1 - Random,522,14810500,5400
Closest Pair: set1 - Random,523,18443600,5500
Closest Pair: set1 - Random,524,15996000,5600
Closest Pair: set1 - Random,525,15660900,5700
Closest Pair: set1 - Random,526,19231700,5800
Closest Pair: set1 - Random,527,18025000,5900
Closest Pair: set1 - Random,528,20449700,6000
Closest Pair: set1 - Random,529,16689100,6100
Closest Pair: set1 - Random,530,20898300,6200
Closest Pair: set1 - Random,531,21759800,6300
Closest Pair: set1 - Random,532,19088800,6400
Closest Pair: set1 - Random,533,23198000,6500
Closest Pair: set1 - Random,534,19834800,6600
Closest Pair: set1 - Random,535,90202100,6700
Closest Pair: set1 - Random,536,22177500,6800
Closest Pair: set1 - Random,537,28039900,6900
Closest Pair: set1 - Random,538,23142400,7000
Closest Pair: set1 - Random,539,27253300,7100
Closest Pair: set1 - Random,540,28601900,7200
Closest Pair: set1 - Random,541,30793300,7300
Closest Pair: set1 - Random,542,30054400,7400
Closest Pair: set1 - Random,543,32131700,7500
Closest Pair: set1 - Random,544,29586700,7600
Closest Pair: set1 - Random,545,31784000,7700
Closest Pair: set1 - Random,546,27959300,7800
Closest Pair: set1 - Random,547,30240300,7900
Closest Pair: set1 - Random,548,33488100,8000
Closest Pair: set1 - Random,549,33914900,8100
Closest Pair: set1 - Random,550,34647800,8200
Closest Pair: set1 - Random,551,31933200,8300
Closest Pair: set1 - Random,552,36875600,8400
Closest Pair: set1 - Random,553,33877900,8500
Closest Pair: set1 - Random,554,40838400,8600
Closest Pair: set1 - Random,555,36533000,8700
Closest Pair: set1 - Random,556,35750900,8800
Closest Pair: set1 - Random,557,40542200,8900
Closest Pair: set1 - Random,558,41702800,9000
Closest Pair: set1 - Random,559,41286600,9100
Closest Pair: set1 - Random,560,39529800,9200
Closest Pair: set1 - Random,561,55025200,9300
Closest Pair: set1 - Random,562,47521500,9400
Closest Pair: set1 - Random,563,41476600,9500
Closest Pair: set1 - Random,564,46050600,9600
Closest Pair: set1 - Random,565,45916300,9700
Closest Pair: set1 - Random,566,52292100,9800
Closest Pair: set1 - Random,567,44903300,9900
Closest Pair: set1 - Random,568,47660500,10000
Closest Pair: set1 - First,569,318200,100
Closest Pair: set1 - First,570,236300,200
Closest Pair: set1 - First,571,607100,300
Closest Pair: set1 - First,572,391400,400
Closest Pair: set1 - First,573,521800,500
Closest Pair: set1 - First,574,520200,600
Closest Pair: set1 - First,575,567300,700
Closest Pair: set1 - First,576,659200,800
Closest Pair: set1 - First,577,815200,900
Closest Pair: set1 - First,578,964600,1000
Closest Pair: set1 - First,579,1304600,1100
Closest Pair: set1 - First,580,1337800,1200
Closest Pair: set1 - First,581,2837400,1300
Closest Pair: set1 - First,582,2015200,1400
Closest Pair: set1 - First,583,2415900,1500
Closest Pair: set1 - First,584,2015400,1600
Closest Pair: set1 - First,585,2718800,1700
Closest Pair: set1 - First,586,2469500,1800
Closest Pair: set1 - First,587,3111000,1900
Closest Pair: set1 - First,588,4931500,2000
Closest Pair: set1 - First,589,4269200,2100
Closest Pair: set1 - First,590,4197000,2200
Closest Pair: set1 - First,591,3772900,2300
Closest Pair: set1 - First,592,4602700,2400
Closest Pair: set1 - First,593,4596300,2500
Closest Pair: set1 - First,594,4801300,2600
Closest Pair: set1 - First,595,5442800,2700
Closest Pair: set1 - First,596,4988000,2800
Closest Pair: set1 - First,597,5041300,2900
Closest Pair: set1 - First,598,6834000,3000
Closest Pair: set1 - First,599,7488900,3100
Closest Pair: set1 - First,600,6745300,3200
Closest Pair: set1 - First,601,6333500,3300
Closest Pair: set1 - First,602,6447100,3400
Closest Pair: set1 - First,603,8010000,3500
Closest Pair: set1 - First,604,7873100,3600
Closest Pair: set1 - First,605,9944200,3700
Closest Pair: set1 - First,606,9863700,3800
Closest Pair: set1 - First,607,9193500,3900
Closest Pair: set1 - First,608,9852100,4000
Closest Pair: set1 - First,609,10266600,4100
Closest Pair: set1 - First,610,13500300,4200
Closest Pair: set1 - First,611,10386800,4300
Closest Pair: set1 - First,612,12832600,4400
Closest Pair: set1 - First,613,11967200,4500
Closest Pair: set1 - First,614,15214100,4600
Closest Pair: set1 - First,615,11912400,4700
Closest Pair: set1 - First,616,12939600,4800
Closest Pair: set1 - First,617,17597200,4900
Closest Pair: set1 - First,618,17758800,5000
Closest Pair: set1 - First,619,14848700,5100
Closest Pair: set1 - First,620,16274800,5200
Closest Pair: set1 - First,621,15807600,5300
Closest Pair: set1 - First,622,16214300,5400
Closest Pair: set1 - First,623,19957000,5500
Closest Pair: set1 - First,624,17069800,5600
Closest Pair: set1 - First,625,19324400,5700
Closest Pair: set1 - First,626,19540100,5800
Closest Pair: set1 - First,627,20462600,5900
Closest Pair: set1 - First,628,20227500,6000
Closest Pair: set1 - First,629,22320700,6100
Closest Pair: set1 - First,630,32092700,6200
Closest Pair: set1 - First,631,23121400,6300
Closest Pair: set1 - First,632,24737800,6400
Closest Pair: set1 - First,633,24355700,6500
Closest Pair: set1 - First,634,28354700,6600
Closest Pair: set1 - First,635,34504100,6700
Closest Pair: set1 - First,636,30603000,6800
Closest Pair: set1 - First,637,30275800,6900
Closest Pair: set1 - First,638,29152600,7000
Closest Pair: set1 - First,639,29634000,7100
Closest Pair: set1 - First,640,30454100,7200
Closest Pair: set1 - First,641,35997900,7300
Closest Pair: set1 - First,642,38812100,7400
Closest Pair: set1 - First,643,38680500,7500
Closest Pair: set1 - First,644,44218900,7600
Closest Pair: set1 - First,645,36322000,7700
Closest Pair: set1 - First,646,40081000,7800
Closest Pair: set1 - First,647,38877900,7900
Closest Pair: set1 - First,648,56147600,8000
Closest Pair: set1 - First,649,41033600,8100
Closest Pair: set1 - First,650,45282100,8200
Closest Pair: set1 - First,651,41691300,8300
Closest Pair: set1 - First,652,38539000,8400
Closest Pair: set1 - First,653,40992700,8500
Closest Pair: set1 - First,654,43205500,8600
Closest Pair: set1 - First,655,47267600,8700
Closest Pair: set1 - First,656,45375800,8800
Closest Pair: set1 - First,657,44978600,8900
Closest Pair: set1 - First,658,43571800,9000
Closest Pair: set1 - First,659,54899500,9100
Closest Pair: set1 - First,660,55548800,9200
Closest Pair: set1 - First,661,48590100,9300
Closest Pair: set1 - First,662,50479800,9400
Closest Pair: set1 - First,663,53087200,9500
Closest Pair: set1 - First,664,51411900,9600
Closest Pair: set1 - First,665,61650900,9700
Closest Pair: set1 - First,666,56428500,9800
Closest Pair: set1 - First,667,54880300,9900
Closest Pair: set1 - First,668,52806600,10000
Closest Pair: set1 - Median Of Three,669,192100,100
Closest Pair: set1 - Median Of Three,670,199800,200
Closest Pair: set1 - Median Of Three,671,317600,300
Closest Pair: set1 - Median Of Three,672,301600,400
Closest Pair: set1 - Median Of Three,673,302400,500
Closest Pair: set1 - Median Of Three,674,383900,600
Closest Pair: set1 - Median Of Three,675,841900,700
Closest Pair: set1 - Median Of Three,676,1576300,800
Closest Pair: set1 - Median Of Three,677,711800,900
Closest Pair: set1 - Median Of Three,678,759900,1000
Closest Pair: set1 - Median Of Three,679,841200,1100
Closest Pair: set1 - Median Of Three,680,1047700,1200
Closest Pair: set1 - Median Of Three,681,1454500,1300
Closest Pair: set1 - Median Of Three,682,1372800,1400
Closest Pair: set1 - Median Of Three,683,1518300,1500
Closest Pair: set1 - Median Of Three,684,1765800,1600
Closest Pair: set1 - Median Of Three,685,1914300,1700
Closest Pair: set1 - Median Of Three,686,2187500,1800
Closest Pair: set1 - Median Of Three,687,2477000,1900
Closest Pair: set1 - Median Of Three,688,2806700,2000
Closest Pair: set1 - Median Of Three,689,2932200,2100
Closest Pair: set1 - Median Of Three,690,3166600,2200
Closest Pair: set1 - Median Of Three,691,3339200,2300
Closest Pair: set1 - Median Of Three,692,3782900,2400
Closest Pair: set1 - Median Of Three,693,3853600,2500
Closest Pair: set1 - Median Of Three,694,4133600,2600
Closest Pair: set1 - Median Of Three,695,4690100,2700
Closest Pair: set1 - Median Of Three,696,4347900,2800
Closest Pair: set1 - Median Of Three,697,4408000,2900
Closest Pair: set1 - Median Of Three,698,5971700,3000
Closest Pair: set1 - Median Of Three,699,6426400,3100
Closest Pair: set1 - Median Of Three,700,5383700,3200
Closest Pair: set1 - Median Of Three,701,5593100,3300
Closest Pair: set1 - Median Of Three,702,5369000,3400
Closest Pair: set1 - Median Of Three,703,5972000,3500
Closest Pair: set1 - Median Of Three,704,6167000,3600
Closest Pair: set1 - Median Of Three,705,6691500,3700
Closest Pair: set1 - Median Of Three,706,9343800,3800
Closest Pair: set1 - Median Of Three,707,7676700,3900
Closest Pair: set1 - Median Of Three,708,10287200,4000
Closest Pair: set1 - Median Of Three,709,8612200,4100
Closest Pair: set1 - Median Of Three,710,9595500,4200
Closest Pair: set1 - Median Of Three,711,10681900,4300
Closest Pair: set1 - Median Of Three,712,13042100,4400
Closest Pair: set1 - Median Of Three,713,10733200,4500
Closest Pair: set1 - Median Of Three,714,10599900,4600
Closest Pair: set1 - Median Of Three,715,12773200,4700
Closest Pair: set1 - Median Of Three,716,13441000,4800
Closest Pair: set1 - Median Of Three,717,15197200,4900
Closest Pair: set1 - Median Of Three,718,12766900,5000
Closest Pair: set1 - Median Of Three,719,19525100,5100
Closest Pair: set1 - Median Of Three,720,14120000,5200
Closest Pair: set1 - Median Of Three,721,18453100,5300
Closest Pair: set1 - Median Of Three,722,20767000,5400
Closest Pair: set1 - Median Of Three,723,17269300,5500
Closest Pair: set1 - Median Of Three,724,15380700,5600
Closest Pair: set1 - Median Of Three,725,16829100,5700
Closest Pair: set1 - Median Of Three,726,16545400,5800
Closest Pair: set1 - Median Of Three,727,23237100,5900
Closest Pair: set1 - Median Of Three,728,18444600,6000
Closest Pair: set1 - Median Of Three,729,19389300,6100
Closest Pair: set1 - Median Of Three,730,16756200,6200
Closest Pair: set1 - Median Of Three,731,29252000,6300
Closest Pair: set1 - Median Of Three,732,18617100,6400
Closest Pair: set1 - Median Of Three,733,26070900,6500
Closest Pair: set1 - Median Of Three,734,19860900,6600
Closest Pair: set1 - Median Of Three,735,29083900,6700
Closest Pair: set1 - Median Of Three,736,40780800,6800
Closest Pair: set1 - Median Of Three,737,21470400,6900
Closest Pair: set1 - Median Of Three,738,22567600,7000
Closest Pair: set1 - Median Of Three,739,23028600,7100
Closest Pair: set1 - Median Of Three,740,23193200,7200
Closest Pair: set1 - Median Of Three,741,25799200,7300
Closest Pair: set1 - Median Of Three,742,26726700,7400
Closest Pair: set1 - Median Of Three,743,23596400,7500
Closest Pair: set1 - Median Of Three,744,26120500,7600
Closest Pair: set1 - Median Of Three,745,29545800,7700
Closest Pair: set1 - Median Of Three,746,27211300,7800
Closest Pair: set1 - Median Of Three,747,33951500,7900
Closest Pair: set1 - Median Of Three,748,31370800,8000
Closest Pair: set1 - Median Of Three,749,31936900,8100
Closest Pair: set1 - Median Of Three,750,32186800,8200
Closest Pair: set1 - Median Of Three,751,34925500,8300
Closest Pair: set1 - Median Of Three,752,33420300,8400
Closest Pair: set1 - Median Of Three,753,30678100,8500
Closest Pair: set1 - Median Of Three,754,36272300,8600
Closest Pair: set1 - Median Of Three,755,37701700,8700
Closest Pair: set1 - Median Of Three,756,34951500,8800
Closest Pair: set1 - Median Of Three,757,36526400,8900
Closest Pair: set1 - Median Of Three,758,39703200,9000
Closest Pair: set1 - Median Of Three,759,35569800,9100
Closest Pair: set1 - Median Of Three,760,38707500,9200
Closest Pair: set1 - Median Of Three,761,43273500,9300
Closest Pair: set1 - Median Of Three,762,42086900,9400
Closest Pair: set1 - Median Of Three,763,44274700,9500
Closest Pair: set1 - Median Of Three,764,40458000,9600
Closest Pair: set1 - Median Of Three,765,42053200,9700
Closest Pair: set1 - Median Of Three,766,60660300,9800
Closest Pair: set1 - Median Of Three,767,46088000,9900
Closest Pair: set1 - Median Of Three,768,43908300,10000
Closest Pair: set1 - Brute Force,769,32300,100
Closest Pair: set1 - Brute Force,770,73900,200
Closest Pair: set1 - Brute Force,771,171400,300
Closest Pair: set1 - Brute Force,772,337500,400
Closest Pair: set1 - Brute Force,773,451800,500
Closest Pair: set1 - Brute Force,774,670000,600
Closest Pair: set1 - Brute Force,775,909500,700
Closest Pair: set1 - Brute Force,776,1182800,800
Closest Pair: set1 - Brute Force,777,1502600,900
Closest Pair: set1 - Brute Force,778,1869600,1000
Closest Pair: set1 - Brute Force,779,2328700,1100
Closest Pair: set1 - Brute Force,780,2669200,1200
Closest Pair: set1 - Brute Force,781,3242500,1300
Closest Pair: set1 - Brute Force,782,3699300,1400
Closest Pair: set1 - Brute Force,783,4460500,1500
Closest Pair: set1 - Brute Force,784,4985200,1600
Closest Pair: set1 - Brute Force,785,5570500,1700
Closest Pair: set1 - Brute Force,786,6124200,1800
Closest Pair: set1 - Brute Force,787,6866500,1900
Closest Pair: set1 - Brute Force,788,7711700,2000
Closest Pair: set1 - Brute Force,789,8727800,2100
Closest Pair: set1 - Brute Force,790,9501500,2200
Closest Pair: set1 - Brute Force,791,11555800,2300
Closest Pair: set1 - Brute Force,792,11286300,2400
Closest Pair: set1 - Brute Force,793,11953500,2500
Closest Pair: set1 - Brute Force,794,13449700,2600
Closest Pair: set1 - Brute Force,795,16808500,2700
Closest Pair: set1 - Brute Force,796,14702900,2800
Closest Pair: set1 - Brute Force,797,15227300,2900
Closest Pair: set1 - Brute Force,798,15421600,3000
Closest Pair: set1 - Brute Force,799,16365800,3100
Closest Pair: set1 - Brute Force,800,18731400,3200
Closest Pair: set1 - Brute Force,801,20411100,3300
Closest Pair: set1 - Brute Force,802,22208500,3400
Closest Pair: set1 - Brute Force,803,22798800,3500
Closest Pair: set1 - Brute Force,804,22890100,3600
Closest Pair: set1 - Brute Force,805,28102900,3700
Closest Pair: set1 - Brute Force,806,27836100,3800
